time,prey,predator,bacteria,virus,immune,nutrient,alpha,beta,phi,mutation_rate,curiosity
0.0,40.0,9.0,10.0,5.0,1.0,100.0,0.18,0.015,0.005,0.03,0.5
0.1,40.17217166000648,9.274901410386295,275.5562333413042,5.007611866831574,1.0011035564014583,46.60364666820933,0.18,0.015,0.005,0.03,0.5
0.2,40.32815123960229,9.559768611641037,319.3399671241794,5.158855378208413,1.0044951814497076,36.89167443262244,0.18,0.015,0.005,0.03,0.5
0.30000000000000004,40.46713248907254,9.854839110674531,254.1850471278279,5.302047563187294,1.0030042218283597,49.0205451968548,0.18,0.015,0.005,0.03,0.5
0.4,40.588307588911704,10.160339451016275,295.8046836036554,5.492319606607581,1.0088532922998679,39.59848744941217,0.18,0.015,0.005,0.03,0.5
0.5,40.69087073949139,10.476482942904086,305.07727852983476,5.664797062818402,1.0126656567998764,36.74286052898864,0.18,0.015,0.005,0.03,0.5
0.6000000000000001,40.77402209834853,10.803467230302497,297.80073265611134,5.849773742338154,1.0169388675164714,37.16052965899094,0.18,0.015,0.005,0.03,0.5
0.7000000000000001,40.836972065930276,11.141471700081143,288.67129620727104,6.048213591362866,1.0219777198160394,37.91054575095374,0.18,0.015,0.005,0.03,0.5
0.8,40.878945915686316,11.490654741793678,271.7967746963775,6.260440374432893,1.0276205039106674,40.172764089923625,0.18,0.015,0.005,0.03,0.5
0.9,40.89918875873299,11.851150870090962,244.1540926546256,6.488487777769194,1.0338722999897538,44.546730507905025,0.18,0.015,0.005,0.03,0.5
1.0,40.89697082693351,12.223067725760664,192.1694281361243,6.738461079659401,1.0407849937654887,53.728209579974255,0.18,0.015,0.005,0.03,0.5
1.1,40.87159305117814,12.606482975675913,165.64599346485414,7.013536362643761,1.0483195724951169,57.75311151603829,0.18,0.015,0.005,0.03,0.5
1.2000000000000002,40.82239290396605,13.001441136507257,246.25726826001818,7.288054883950683,1.0559474587435485,40.380584947783156,0.18,0.015,0.005,0.03,0.5
1.3,40.74875046717838,13.40795035183532,164.59861095538702,7.5672550066366195,1.063154564988928,55.463549447218895,0.18,0.015,0.005,0.03,0.5
1.4000000000000001,40.650094677314215,13.825979157205037,257.47914909767536,7.85028094080457,1.0708424434801822,35.65319810544396,0.18,0.015,0.005,0.03,0.5
1.5,40.52590969160002,14.255453272574057,147.1872613376771,8.150222124095674,1.078191916433702,56.4383006501853,0.18,0.015,0.005,0.03,0.5
1.6,40.375741309477775,14.696252466393718,313.9196947569375,8.428574233334999,1.085884897053303,21.913433387067258,0.18,0.015,0.005,0.03,0.5
1.7000000000000002,40.199203375263075,15.148207540066313,35.185642332883276,8.791991207588207,1.0937231449196625,76.23392801080766,0.18,0.015,0.005,0.03,0.5
1.8,39.995984079513605,15.611097485574398,266.8802672246967,8.896343060697847,1.0986731482982308,29.272553037808883,0.18,0.015,0.005,0.03,0.5
1.9000000000000001,39.76585206915981,16.08464687248915,116.7161528834591,9.237549813067117,1.1064126871948943,57.97828690571167,0.18,0.015,0.005,0.03,0.5
2.0,39.50866227004689,16.568523523138506,359.5198490698848,9.49145169144042,1.1139512195831438,8.366890073704923,0.18,0.015,0.005,0.03,0.5
2.1,39.22436132055614,17.062336536252467,121.05999682037915,9.937192914586745,1.1225906494341122,54.48000970043467,0.18,0.015,0.005,0.03,0.5
2.2,38.9129925117504,17.565634719708687,343.2061187511432,10.200791380754621,1.130219766620385,8.998821625313916,0.18,0.015,0.005,0.03,0.5
2.3000000000000003,38.57470012834605,18.077905491897354,140.6008955158847,10.652072225233397,1.1388980048673896,47.97562750458942,0.18,0.015,0.005,0.03,0.5
2.4000000000000004,38.209733086045205,18.598574308556827,309.3324517545602,10.943063537456622,1.1467419760396504,13.127842755403933,0.18,0.015,0.005,0.03,0.5
2.5,37.81844776461164,19.1270046675835,127.29246739839246,11.383684630848506,1.1553292792294954,48.06169191228587,0.18,0.015,0.005,0.03,0.5
2.6,37.401309942722364,19.66249873822074,316.1025679657286,11.659972434958835,1.163100723800148,9.256396619501466,0.18,0.015,0.005,0.03,0.5
2.7,36.95889575017074,20.2042986531696,187.11263857065077,12.116824064661708,1.171874049024769,33.576721027469155,0.18,0.015,0.005,0.03,0.5
2.8000000000000003,36.49189156543609,20.751588492591065,238.50165600903836,12.461291560427977,1.1800375450257505,22.107746436675797,0.18,0.015,0.005,0.03,0.5
2.9000000000000004,36.001092801858306,21.30349697781023,187.833699768686,12.856867027197366,1.1884440930209772,30.939518083604362,0.18,0.015,0.005,0.03,0.5
3.0,35.48740154343605,21.859100879986162,238.71627476711558,13.205294968000917,1.1966780172760862,19.58176611639777,0.18,0.015,0.005,0.03,0.5
3.1,34.95182301125602,22.41742913535029,198.770958145879,13.608244505765693,1.2051965590356637,26.27438614832108,0.18,0.015,0.005,0.03,0.5
3.2,34.39546086329461,22.977467644183555,229.4171287445206,13.970602947155479,1.213550702346853,18.94914415021901,0.18,0.015,0.005,0.03,0.5
3.3000000000000003,33.819511353244664,23.53816471590013,212.1148404822073,14.368163884879266,1.2221147906882046,21.144146120730603,0.18,0.015,0.005,0.03,0.5
3.4000000000000004,33.225256397452775,24.09843710788196,222.74799060279798,14.747345362922,1.2306193420944307,17.799794326335068,0.18,0.015,0.005,0.03,0.5
3.5,32.61405562228985,24.6571765915411,220.65391782020927,15.139429113733755,1.2392312403056855,16.980405492536658,0.18,0.015,0.005,0.03,0.5
3.6,31.987337486567387,25.21325696596177,223.3934851024671,15.529197538657819,1.2478705712224711,15.205695972865131,0.18,0.015,0.005,0.03,0.5
3.7,31.34658959420348,25.76554142786337,225.1058184574787,15.921771103160077,1.256567877865997,13.6365336059073,0.18,0.015,0.005,0.03,0.5
3.8000000000000003,30.69334833052014,26.312890196964112,227.06380068820118,16.315356167020227,1.26531495921658,12.02151010157028,0.18,0.015,0.005,0.03,0.5
3.9000000000000004,30.029187970672666,26.854168288488303,229.0869269471925,16.709593138020622,1.2741116998918365,10.396894990542057,0.18,0.015,0.005,0.03,0.5
4.0,29.35570942023037,27.388253319844456,231.12696892714524,17.10383983083646,1.2829561554875684,8.773046431694386,0.18,0.015,0.005,0.03,0.5
4.1000000000000005,28.674528755436494,27.91404323660689,233.0860729183096,17.497327967389104,1.2918453400249768,7.170458909894225,0.18,0.015,0.005,0.03,0.5
4.2,27.987265733915706,28.430463843953188,234.7982572375161,17.889123485606373,1.3007748188398116,5.623529878468051,0.18,0.015,0.005,0.03,0.5
4.3,27.29553244547849,28.936476033624043,236.0149653066704,18.27809833145231,1.3097383480263594,4.183491285771391,0.18,0.015,0.005,0.03,0.5
4.4,26.600922267271116,29.43108260314823,236.4209635028925,18.66293179247018,1.3187277652124014,2.9152179934866043,0.18,0.015,0.005,0.03,0.5
4.5,25.904999278079874,29.913334573275502,235.7093799588316,19.04216343610655,1.3277334400743823,1.8821184314690946,0.18,0.015,0.005,0.03,0.5
4.6000000000000005,25.20928827351165,30.38233692095249,233.70941408294667,19.41429655130887,1.3367453911249996,1.1204087895134534,0.18,0.015,0.005,0.03,0.5
4.7,24.515265507560347,30.837253658353312,230.4850846457081,19.77791175235476,1.3457545942421996,0.6191710311965155,0.18,0.015,0.005,0.03,0.5
4.800000000000001,23.82435026735071,31.277312202974592,226.30841458928253,20.13174374885577,1.354753682097573,0.3255948241795851,0.18,0.015,0.005,0.03,0.5
4.9,23.137897367315848,31.701806999128124,221.52607687918618,20.47471412575607,1.3637368230276836,0.1716064408875453,0.18,0.015,0.005,0.03,0.5
5.0,22.457190627433377,32.110102366810025,216.43535265817798,20.80593728153297,1.3726992782194318,0.09868249605443259,0.18,0.015,0.005,0.03,0.5
5.1000000000000005,21.783437378137407,32.50163456940283,211.23644090971706,21.124706622267656,1.3816370414592547,0.06742711004785976,0.18,0.015,0.005,0.03,0.5
5.2,21.117764012827134,32.875913106522425,206.04316587668467,21.430464797254487,1.3905465966748698,0.05549442270420366,0.18,0.015,0.005,0.03,0.5
5.300000000000001,20.46121258813367,33.232521252153184,200.91244280115933,21.72276876325279,1.399424734990166,0.0517641685580584,0.18,0.015,0.005,0.03,0.5
5.4,19.814738452829054,33.571115870685816,195.86994203107872,22.00126035423744,1.4082684162929116,0.051264157732583415,0.18,0.015,0.005,0.03,0.5
5.5,19.179208868909438,33.89142655432314,190.92629330525858,22.265646516330662,1.4170746773743979,0.0519653788994321,0.18,0.015,0.005,0.03,0.5
5.6000000000000005,18.55540257329465,34.193254134366676,186.08557890006153,22.51568798646572,1.4258405802445062,0.05310327761041932,0.18,0.015,0.005,0.03,0.5
5.7,17.944010215982903,34.47646862604014,181.34922491866968,22.75119338344939,1.4345631877358225,0.054409311928311714,0.18,0.015,0.005,0.03,0.5
5.800000000000001,17.345635600497797,34.7410066717166,176.7176040963652,22.972016101709652,1.4432395544769783,0.055794960117750605,0.18,0.015,0.005,0.03,0.5
