time,prey,predator,bacteria,virus,immune,nutrient,alpha,beta,phi,mutation_rate,curiosity
0.0,40.0,9.0,10.0,5.0,1.0,100.0,0.22,0.018,0.006,0.04,0.6
0.1,40.22277501500214,9.275138277192166,275.49597626752967,5.02417899861272,1.0011032278220517,46.6046869952398,0.22,0.018,0.006,0.04,0.6
0.2,40.426385823100944,9.560726701308635,319.30972498647327,5.22200782648148,1.0045057869088856,36.85528226460022,0.22,0.018,0.006,0.04,0.6
0.30000000000000004,40.60975630485511,9.85701654733015,255.4549968092338,5.412719644195782,1.0031859596277473,48.69027714431057,0.22,0.018,0.006,0.04,0.6
0.4,40.77180805385195,10.164244745465007,297.920286861019,5.661458470798785,1.0089852019222927,39.06329715183204,0.22,0.018,0.006,0.04,0.6
0.5,40.911465945635975,10.482630950729481,303.74388598272475,5.892928555738033,1.012786954193033,36.85537142528219,0.22,0.018,0.006,0.04,0.6
0.6000000000000001,41.027664269957356,10.81237440144388,297.0394770558569,6.143679666510602,1.0172001912951811,37.10876974238064,0.22,0.018,0.006,0.04,0.6
0.7000000000000001,41.11935342415232,11.153650576804637,285.94523301335124,6.414801850286552,1.0223532873002767,38.19586207419888,0.22,0.018,0.006,0.04,0.6
0.8,41.18550715573464,11.506607668888266,266.9272287722493,6.707259332499766,1.0281287061067963,40.82428886927748,0.22,0.018,0.006,0.04,0.6
0.9,41.22513033114146,11.871362890235202,234.67396390435107,7.0249924642289505,1.034529533597726,46.04821188121365,0.22,0.018,0.006,0.04,0.6
1.0,41.23726719508514,12.247998644501763,175.17390605030323,7.378025882517223,1.0416104724299893,56.64581924167027,0.22,0.018,0.006,0.04,0.6
1.1,41.22101007122066,12.636558594477183,210.23479278324805,7.7584215010753095,1.049203112441807,48.290608049996976,0.22,0.018,0.006,0.04,0.6
1.2000000000000002,41.17550844001766,13.037043668925609,157.6170011746285,8.152171040517961,1.0566765117660666,57.46439480270292,0.22,0.018,0.006,0.04,0.6
1.3,41.09997831407462,13.44940805707844,279.8233791932936,8.543452222112528,1.0643226793644902,31.717641304394018,0.22,0.018,0.006,0.04,0.6
1.4000000000000001,40.99371181495733,13.873555246979162,135.95788014550556,8.971495870345517,1.0715655424806458,59.11132928086342,0.22,0.018,0.006,0.04,0.6
1.5,40.856086839394635,14.309334171040124,344.98408839533437,9.357565093082295,1.079164125127141,16.07182801066567,0.22,0.018,0.006,0.04,0.6
